enunciado;alternativaA;alternativaB;alternativaC;alternativaD;correta;nivel
Qual e o nome da ordem da qual o Doutor Estranho faz parte?;Irmandade Mutante;Os Eternos;Ordem dos Magos;Ordem de Kamar-Taj;D;3
Quem e a irma de T’Challa, o Pantera Negra?;Okoye;Nakia;Shuri;Ramonda;C;3
Qual e o nome verdadeiro da Capita Marvel?;Natasha Romanoff;Carol Danvers;Monica Rambeau;Peggy Carter;B;3
Em que filme os Vingadores se separam por discordancias internas?;Vingadores: Era de Ultron;Vingadores: Guerra Infinita;Capitao America: Guerra Civil;Vingadores: Ultimato;C;3
Quem e o verdadeiro nome do Caveira Vermelha?;Johann Schmidt;Helmut Zemo;Obadiah Stane;Norman Osborn;A;3
Qual mutante tem o poder de controlar campos magneticos?;Charles Xavier;Ciclope;Magneto;Noturno;C;3
Qual o nome verdadeiro da personagem conhecida como Nebulosa?;Gamora;Nebula;Kara Zor-El;Desconhecido;D;3
Quem assume o manto de Pantera Negra apos a morte de T’Challa nos quadrinhos?;Shuri;M’Baku;Ramonda;Nakia;A;3
Qual e o nome do universo principal da Marvel nos quadrinhos?;Universo 199999;Universo 1610;Universo 616;Universo 42;C;3
Quem e o dono original da Joia do Tempo?;Wong;Doutor Estranho;Ancia;Dormammu;C;3
Em (Doutor Estranho), qual e o nome do livro que contem feiticos proibidos?;Livro de Vishanti;Livro dos Mortos;Darkhold;Necronomicon;C;4
Qual Joia do Infinito estava no cetro de Loki?;Joia do Tempo;Joia da Alma;Joia da Mente;Joia do Espaco;C;4
Quem matou os pais de Tony Stark, conforme revelado em (Capitao America: Guerra Civil)?;Loki;Soldado Invernal;Red Skull;Ultron;B;4
Qual e o nome da organizacao infiltrada na S.H.I.E.L.D. nos filmes da Marvel?;AIM;HYDRA;SWORD;Kree;B;4
Qual a raca alienigena responsavel por dar os poderes ao Quarteto Fantastico nos quadrinhos?;Kree;Skrulls;Anunnaki; foi um acidente cosmico;D;4
Qual e o nome do metal presente no esqueleto do Wolverine?;Vibranium;Carbonadio;Adamantium;Uru;C;4
Qual e o verdadeiro nome do supervilao Rei do Crime?;Wilson Grant Fisk;Norman Osborn;Quentin Beck;Maxwell Dillon;A;4
Quem foi o primeiro Capitao Marvel nos quadrinhos?;Carol Danvers;Mar-Vell;Monica Rambeau;Genis-Vell;B;4
Quem e o principal vilao da saga (Guerra Secreta) nos quadrinhos?;Doutor Destino;Thanos;Kang, o Conquistador;Magneto;A;4
Quem criou os roboes Sentinelas, cacadores de mutantes, nos quadrinhos?;Bolivar Trask;Tony Stark;Reed Richards;Hank McCoy;A;4
Qual o verdadeiro nome da feiticeira conhecida como Magia (Ilyana Rasputin)?;Ilyana Nikolaevna Rasputina;Ilyana Maximoff;Illyana Romanova;Ilyana Natasha Rasputin;A;4
Quem foi o criador original do personagem Carnificina nos quadrinhos?;Eddie Brock;Cletus Kasady;Norman Osborn;Quentin Beck;B;4
Quem foi o diretor da S.H.I.E.L.D. antes de Nick Fury?;Alexander Pierce;Maria Hill;Rick Stoner;Phil Coulson;C;4
Quem derrotou o proprio Thanos no arco (Desafio Infinito) nos quadrinhos?;Thor;Adam Warlock;Capitao America;Doutor Estranho;B;4
Qual foi o primeiro filme do Universo Cinematografico Marvel (MCU) a ter uma cena pos-creditos conectando diretamente com a iniciativa Vingadores?;O Incrivel Hulk;Homem de Ferro;Capitao America: O Primeiro Vingador;Thor;B;5
Qual e o nome da raca alienigena da qual o Ronan, o Acusador, faz parte?;Kree;Skrull;Celestiais;Shi'ar;A;5
QUESTAO DO MILHAO: Em Guardioes da Galaxia Vol. 2, Ego afirma ser o que em relacao ao universo?;Um celestial;Um eterno;Um mutante primordial;O ultimo Guardiao;A;5
Qual e o nome do planeta natal do surfista prateado?;Xandar;Zenn-La;Sakaar;Hala;B;5
Em que edicao dos quadrinhos a Capita Marvel (Carol Danvers) apareceu pela primeira vez?;Ms. Marvel #1;Captain Marvel #1;Marvel Super-Heroes #13;Giant-Size Avengers #3;C;5
Qual e o nome verdadeiro do personagem conhecido como Caveira Vermelha?;Karl Ruprecht Kroenen;Johann Schmidt;Werner von Strucker;Helmut Zemo;B;5
Qual e o nome do material que constitui o martelo Mjolnir de Thor?;Vibranium;Adamantium;Uru;Neutronium;C;5
Qual e o nome do supervilao que usava a Manopla do Infinito antes do Thanos nos quadrinhos?;Mephisto;Annihilus;Nebula;Adam Warlock;C;5
Qual e o nome do planeta onde Thanos nasceu?;Hala;Titan;Xandar;Sakaar;B;5
Quem e o criador original do Visao nos quadrinhos?;Hank Pym;Tony Stark;Ultron;Reed Richards;C;5
